Petal,Rarity,Image,ID,Count,Stack,Damage,Health,Primary Respawn,Usage Respawn,DPS,Special Stat Name,Special Stat 1,Special Stat 2,Special Stat 3,Attack Action,Defend Action,Notes,Mob Drops,Modifiable Stats,Formulas,,,,,
,Epic,,,1,,135,324,1.8,N/A,1350,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,405,972,1.8,N/A,4050,,,,,,,,,,,,0,0,1,
,Mythic,,,1,,1215,2916,1.8,N/A,12150,,,,,,,,,,,,1,1.1664,1.1664,
,Ultra,,,1,,3645,8748,1.8,N/A,36450,,,,,,,,,,,,1,3.4992,3.4992,
,Super,,,1,,10935,26244,1.8,N/A,109350,,,,,,,,,,,,1,10.4976,10.4976,
,Unique,,,1,,32805,78732,1.8,N/A,328050,,,,,,,,,,,,1,31.4928,31.4928,
Leaf,Common,,22,1,Yes,13,12,1.8,N/A,6.633,Heal (Per sec),1,N/A,,Far,Close,Heals the user at a constant rate.,"With no Orb equipped:
Baby Ant
Worker Ant
Centipede (Green)
Leafbug",,1,15,0,0,1,
,Unusual,,,1,,39,36,1.8,N/A,19.898,,3,,,,,,,,,,0,0,1,
,Rare,,,1,,117,108,1.8,N/A,119.388,,9,,,,,,,,,,0,0,1,
,Epic,,,1,,351,324,1.8,N/A,716.327,,27,,,,,,,,,,0,0,1,
,Legendary,,,1,,1053,972,1.8,N/A,5372.449,,81,,,,,,,,,,0,0,1,
,Mythic,,,1,,3159,2916,1.8,N/A,29464.061,,243,,,,,,,,,,1,1.1664,1.1664,
,Ultra,,,1,,9477,8748,1.8,N/A,151862.537,,421,,,,,,,,,,1,3.4992,3.4992,
,Super,,,1,,28431,26244,1.8,N/A,598946.157,,729,,,,,,,,,,1,10.4976,10.4976,
,Unique,,,1,,85293,78732,1.8,N/A,2007392.05,,1262.7,,,,,,,,,,1,31.4928,31.4928,
Golden Leaf,Common,,97,1,Yes,13,12,1.8,N/A,6.633,Reload Reduction,0.00%,N/A,,Far,Close,Reduces the respawn reload time of all petals of the user. Stacks multiplicatively,"With no Orb equipped:
Shiny Leafbug",,1,15,0,0,1,
,Unusual,,,1,,39,36,1.8,N/A,19.898,,0.00%,,,,,,,,,,0,0,1,
,Rare,,,1,,117,108,1.8,N/A,119.388,,0.00%,,,,,,,,,,0,0,1,
,Epic,,,1,,351,324,1.8,N/A,716.327,,0.00%,,,,,,,,,,0,0,1,
,Legendary,,,1,,1053,972,1.8,N/A,5372.449,,0.00%,,,,,,,,,,0,0,1,
,Mythic,,,1,,3159,2916,1.8,N/A,29464.061,,0.00%,,,,,,,,,,1,1.1664,1.1664,
,Ultra,,,1,,9477,8748,1.8,N/A,151862.537,,-19.20%,,,,,,,,,,1,3.4992,3.4992,
,Super,,,1,,28431,26244,1.8,N/A,598946.157,,-21.60%,,,,,,,,,,1,10.4976,10.4976,
,Unique,,,1,,85293,78732,1.8,N/A,2007392.05,,-24.00%,,,,,,,,,,1,31.4928,31.4928,
Magic Leaf,Common,,85,1,Yes,13,12,1.8,N/A,6.633,Mana (Per sec); Base Max Mana,2.1,82.5,N/A,Far,Close,Regenerates the user's mana at a constant rate. The highest base max mana stat among Magleaves or Orbs determines the base max mana of the player.,"With Orb equipped:
Worker Ant
Leafbug",,1,15,0,0,1,
,Unusual,,,1,,39,36,1.8,N/A,19.898,,4.2,165,,,,,,,,,0,0,1,
,Rare,,,1,,117,108,1.8,N/A,119.388,,6.3,247.5,,,,,,,,,0,0,1,
,Epic,,,1,,351,324,1.8,N/A,716.327,,8.4,330,,,,,,,,,0,0,1,
,Legendary,,,1,,1053,972,1.8,N/A,5372.449,,10.5,412.5,,,,,,,,,0,0,1,
,Mythic,,,1,,3159,2916,1.8,N/A,29464.061,,12.6,495,,,,,,,,,1,1.1664,1.1664,
,Ultra,,,1,,9477,8748,1.8,N/A,151862.537,,14.7,577.5,,,,,,,,,1,3.4992,3.4992,
,Super,,,1,,28431,26244,1.8,N/A,598946.157,,16.8,660,,,,,,,,,1,10.4976,10.4976,
,Unique,,,1,,85293,78732,1.8,N/A,2007392.05,,18.9,742.5,,,,,,,,,1,31.4928,31.4928,
Light,Common,,2,1,Yes,13,5,0.8,N/A,13.542,N/A,,,,Very Far,Close,N/A,"Ladybug
Baby Ant
Baby Fire Ant",,,,0,0,1,
,Unusual,,,2,,20,8,0.8,N/A,40.625,,,,,,,,,,,,0,0,1,
,Rare,,,2,,59,23,0.8,N/A,121.875,,,,,,,,,,,,0,0,1,
,Epic,,,3,,117,45,0.8,N/A,365.625,,,,,,,,,,,,0,0,1,
,Legendary,,,3,,351,135,0.8,N/A,2193.75,,,,,,,,,,,,0,0,1,
,Mythic,,,5,,632,243,0.8,N/A,9871.875,,,,,,,,,,,,0,0,1,
,Ultra,,,5,,1895,729,0.8,N/A,78975,,,,,,,,,,,,0,0,1,
,Super,,,5,,5686,2187,0.8,N/A,651543.75,,,,,,,,,,,,0,0,1,
,Unique,,,5,,17059,6561,0.8,N/A,1561230.256,,,,,,,,,,,,1,2.6244,2.6244,
Lightning,Common,,33,1,Yes,0,20,2.5,N/A,9.6,Lightning; Bounces,12,2,N/A,Far,Close,"Activates upon contact with enemy mobs or flowers, then goes on respawn. Can bounce to nearby enemies up to the indicated number of times by the bounce stat. All entities struck by it have their velocity set to 0 for an instant.
If it attacks a player with Rubber equipped, it will damage the Rubber instead of them.",Jellyfish,,,,0,0,1,
,Unusual,,,1,,0,60,2.5,N/A,43.2,,36,3,,,,,,,,,0,0,1,
,Rare,,,1,,0,180,2.5,N/A,172.8,,108,4,,,,,,,,,0,0,1,
,Epic,,,1,,0,540,2.5,N/A,648,,324,5,,,,,,,,,0,0,1,
,Legendary,,,1,,0,1620,2.5,N/A,2332.8,,972,6,,,,,,,,,0,0,1,
,Mythic,,,1,,0,4860,2.5,N/A,8164.8,,2916,7,,,,,,,,,1,1.944,1.944,
,Ultra,,,1,,0,14580,2.5,N/A,27993.6,,8748,8,,,,,,,,,1,5.832,5.832,
,Super,,,1,,0,43740,2.5,N/A,94478.4,,26244,9,,,,,,,,,1,17.496,17.496,
,Unique,,,1,,0,131220,2.5,N/A,314928,,78732,10,,,,,,,,,1,52.488,52.488,
Lotus,Common,,54,1,Yes,N/A,0,2.5,N/A,N/A,Poison Resistance (per sec),14,N/A,,None,None,Negates poison damage up to the petal's poison resistance. Stacks additively.,Roach,,,,0,0,1,
,Unusual,,,1,,N/A,0,2.5,N/A,N/A,,42,,,,,,,,,,0,0,1,
,Rare,,,1,,N/A,0,2.5,N/A,N/A,,126,,,,,,,,,,0,0,1,
,Epic,,,1,,N/A,0,2.5,N/A,N/A,,378,,,,,,,,,,0,0,1,
,Legendary,,,1,,N/A,0,2.5,N/A,N/A,,1134,,,,,,,,,,0,0,1,
,Mythic,,,1,,N/A,0,2.5,N/A,N/A,,3402,,,,,,,,,,0,0,1,
,Ultra,,,1,,N/A,0,2.5,N/A,N/A,,10206,,,,,,,,,,0,0,1,
,Super,,,1,,N/A,0,2.5,N/A,N/A,,30618,,,,,,,,,,0,0,1,
,Unique,,,1,,N/A,0,2.5,N/A,N/A,,91854,,,,,,,,,,0,0,1,
Magic Eye,Common,,87,N/A,No,N/A,N/A,2,N/A,N/A,Lightning (per mana); Bounces,3.3,7,N/A,N/A,N/A,"When loaded, consumes half of the user's mana and releases a lightning attack that deals damage based on the mana consumed.","With Orb equipped:
Spider
Spider (Hel)",,,,1,#VALUE!,#VALUE!,
,Unusual,,,N/A,,N/A,N/A,2,N/A,N/A,,5.0,7,,,,,,,,,1,#VALUE!,#VALUE!,
,Rare,,,N/A,,N/A,N/A,2,N/A,N/A,,7.4,7,,,,,,,,,1,#VALUE!,#VALUE!,
,Epic,,,N/A,,N/A,N/A,2,N/A,N/A,,11.1,7,,,,,,,,,1,#VALUE!,#VALUE!,
,Legendary,,,N/A,,N/A,N/A,2,N/A,N/A,,16.7,7,,,,,,,,,1,#VALUE!,#VALUE!,
,Mythic,,,N/A,,N/A,N/A,2,N/A,N/A,,25.1,7,,,,,,,,,1,#VALUE!,#VALUE!,
,Ultra,,,N/A,,N/A,N/A,2,N/A,N/A,,37.6,7,,,,,,,,,1,#VALUE!,#VALUE!,
,Super,,,N/A,,N/A,N/A,2,N/A,N/A,,56.4,7,,,,,,,,,1,#VALUE!,#VALUE!,
,Unique,,,N/A,,N/A,N/A,2,N/A,N/A,,84.6,7,,,,,,,,,1,#VALUE!,#VALUE!,
Magnet,Common,,29,1,No,1,30,1.5,N/A,0.602,Pickup Range,-120,N/A,,None,Close,"Increases Pick Up Range. See Statuses for more info on Pick Up Range. Effect is not active if petal is on cooldown. Does not work on Basics.
","Fire Ant Burrow
Shell",,,,0,0,1,
,Unusual,,,1,,3,90,1.5,N/A,1.807,,60,,,,,,,,,,0,0,1,
,Rare,,,1,,9,270,1.5,N/A,16.265,,240,,,,,,,,,,0,0,1,
,Epic,,,1,,27,810,1.5,N/A,146.386,,420,,,,,,,,,,0,0,1,
,Legendary,,,1,,81,2430,1.5,N/A,1219.88,,600,,,,,,,,,,0,0,1,
,Mythic,,,1,,243,7290,1.5,N/A,3871.219,,780,,,,,,,,,,1,2.916,2.916,
,Ultra,,,1,,729,21870,1.5,N/A,15318.246,,960,,,,,,,,,,1,8.748,8.748,
,Super,,,1,,2187,65610,1.5,N/A,51422.402,,"1,140",,,,,,,,,,1,26.244,26.244,
,Unique,,,1,,6561,196830,1.5,N/A,160638.077,,"1,320",,,,,,,,,,1,78.732,78.732,
Dark Mark,Common,,61,1,Yes,0,10,1,960,0,N/A,,,,None (but affected by Attack Range),Close,"Goes on top of any nearby dead player. After the secondary timer has elapsed, this player is sent to Hel (or respawned if already in Hel). Checkpoints are not saved if sent to Hel. Petal goes on respawn afterward.","Beetle (Hel)
Centipede (Hel)
Spider (Hel)
Wasp (Hel)",,,,0,0,1,
,Unusual,,,1,,0,30,1,480,0,,,,,,,,,,,,0,0,1,
,Rare,,,1,,0,90,1,240,0,,,,,,,,,,,,0,0,1,
,Epic,,,1,,0,270,1,120.0,0,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,0,810,1,60.0,0,,,,,,,,,,,,0,0,1,
,Mythic,,,1,,0,2430,1,30.0,0,,,,,,,,,,,,0,0,1,
,Ultra,,,1,,0,7290,1,10.0,0,,,,,,,,,,,,1,2.916,2.916,
,Super,,,1,,0,21870,1,4.0,0,,,,,,,,,,,,1,8.748,8.748,
,Unique,,,1,,0,65610,1,4.0,0,,,,,,,,,,,,1,26.244,26.244,
Missile,Common,,9,1,Yes,25,2,1.5,0.5,15.06,N/A,,,,Shoots,Close,"Upon attacking, shoots in a straight line away from the flower. Can slightly change its starting angle to target mobs.","Hornet
Wasp",,20,20,0,0,1,
,Unusual,,,1,,75,6,1.5,0.5,45.181,,,,,,,,,,,,0,0,1,
,Rare,,,1,,225,18,1.5,0.5,135.542,,,,,,,,,,,,0,0,1,
,Epic,,,1,,675,54,1.5,0.5,406.627,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,2025,162,1.5,0.5,2439.759,,,,,,,,,,,,0,0,1,
,Mythic,,,1,,6075,486,1.5,0.5,18298.193,,,,,,,,,,,,0,0,1,
,Ultra,,,1,,18225,1458,1.5,0.5,164683.735,,,,,,,,,,,,0,0,1,
,Super,,,1,,54675,4374,1.5,0.5,701397.378,,,,,,,,,,,,1,1.7496,1.7496,
,Unique,,,1,,164025,13122,1.5,0.5,3115354.403,,,,,,,,,,,,1,5.2488,5.2488,
Magic Missile,Common,,88,1,Yes,25,2,5.4,0.2,625,N/A,,,,Shoots,Close,"Upon attacking, shoots in a straight line away from the flower. Can slightly change its starting angle to target mobs.","Hornet
Wasp",,20,20,0,0,1,
,Unusual,,,1,,75,6,10.8,0.2,1875,,,,,,,,,,,,0,0,1,
,Rare,,,1,,225,18,21.6,0.2,5625,,,,,,,,,,,,0,0,1,
,Epic,,,1,,675,54,43.2,0.2,16875,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,2025,162,86.4,0.2,101250,,,,,,,,,,,,0,0,1,
,Mythic,,,1,,6075,486,172.8,0.2,759375,,,,,,,,,,,,0,0,1,
,Ultra,,,1,,18225,1458,345.6,0.2,6834375,,,,,,,,,,,,0,0,1,
,Super,,,1,,54675,4374,691.2,0.2,34171875,,,,,,,,,,,,1,1.7496,1.7496,
,Unique,,,1,,164025,13122,1382.4,0.2,102515625,,,,,,,,,,,,1,5.2488,5.2488,
Mecha Missile,Common,,95,1,Yes,25,2,1.5,0.5,15.06,N/A,,,,Shoots,Close,"Upon attacking, shoots in a straight line away from the flower. Can slightly change its angle while shooting to target mobs.",None,,20,20,0,0,1,
,Unusual,,,1,,75,6,1.5,0.5,45.181,,,,,,,,,,,,0,0,1,
,Rare,,,1,,225,18,1.5,0.5,135.542,,,,,,,,,,,,0,0,1,
,Epic,,,1,,675,54,1.5,0.5,406.627,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,2025,162,1.5,0.5,2439.759,,,,,,,,,,,,0,0,1,
,Mythic,,,1,,6075,486,1.5,0.5,18298.193,,,,,,,,,,,,0,0,1,
,Ultra,,,1,,18225,1458,1.5,0.5,164683.735,,,,,,,,,,,,0,0,1,
,Super,,,1,,54675,4374,1.5,0.5,701397.378,,,,,,,,,,,,1,1.7496,1.7496,
,Unique,,,1,,164025,13122,1.5,0.5,3115354.403,,,,,,,,,,,,1,5.2488,5.2488,
Mimic,Common,,93,1,Yes,N/A,N/A,N/A,N/A,N/A,"Assumes the identity of the petal to the left (including the image on the loadout), taking the rarity of the Mimic petal.",,,,None,None,"Assumes the identity of the petal to the left (including the image on the loadout), taking the rarity of the Mimic petal.",Mecha Flower,,,,1,#VALUE!,#VALUE!,
,Unusual,,,1,,,,,,,,,,,,,,,,,,0,0,1,
,Rare,,,1,,,,,,,,,,,,,,,,,,0,0,1,
,Epic,,,1,,,,,,,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,,,,,,,,,,,,,,,,,0,0,1,
,Mythic,,,1,,,,,,,,,,,,,,,,,,0,0,1,
,Ultra,,,1,,,,,,,,,,,,,,,,,,0,0,1,
,Super,,,1,,,,,,,,,,,,,,,,,,0,0,1,
,Unique,,,1,,,,,,,,,,,,,,,,,,0,0,1,
Moon Rock,Common,,77,1,No,5,5000,60,N/A,4.022,N/A,,,,None,None,"
When loaded, the player's other petals will rotate around the petal instead of the flower, and the petal will follow the flower.
Size of Moon depends on its rarity.",Rock,,,,1,2,2,
,Unusual,,,1,,15,15000,60,N/A,34.008,,,,,,,,,,,,1,6,6,
,Rare,,,1,,45,45000,60,N/A,259.084,,,,,,,,,,,,1,18,18,
,Epic,,,1,,135,135000,60,N/A,1596.444,,,,,,,,,,,,1,54,54,
,Legendary,,,1,,405,405000,60,N/A,7383.192,,,,,,,,,,,,1,162,162,
,Mythic,,,1,,1215,1215000,60,N/A,27029.167,,,,,,,,,,,,1,486,486,
,Ultra,,,1,,3645,3645000,60,N/A,87513.997,,,,,,,,,,,,1,1458,1458,
,Super,,,1,,10935,10935000,60,N/A,269666.013,,,,,,,,,,,,1,4374,4374,
,Unique,,,1,,32805,32805000,60,N/A,816382.16,,,,,,,,,,,,1,13122,13122,
Orange,Common,,50,3,Yes,6.7,6.7,3.5,N/A,5.464,N/A,,,,Far,None,Forms a large polygon in the orbit. The polygon point nearest to the player sits at normal extension range.,Hornet,,,,0,0,1,
,Unusual,,,3,,20,20,3.5,N/A,16.393,,,,,,,,,,,,0,0,1,
,Rare,,,3,,60,60,3.5,N/A,49.18,,,,,,,,,,,,0,0,1,
,Epic,,,3,,180,180,3.5,N/A,295.082,,,,,,,,,,,,0,0,1,
,Legendary,,,3,,540,540,3.5,N/A,2655.738,,,,,,,,,,,,0,0,1,
,Mythic,,,3,,1620,1620,3.5,N/A,22573.77,,,,,,,,,,,,0,0,1,
,Ultra,,,3,,4860,4860,3.5,N/A,126443.255,,,,,,,,,,,,1,1.944,1.944,
,Super,,,3,,14580,14580,3.5,N/A,671859.671,,,,,,,,,,,,1,5.832,5.832,
,Unique,,,3,,43740,43740,3.5,N/A,2712971.639,,,,,,,,,,,,1,17.496,17.496,
Mana Orb,Common,,81,1,Yes,0,25,2.5,1.5,0,"Mana; Base Max Mana;
Allows finding magic petals",8,82.5,"Converts Bubble Cactus, Leaf, Grapes, Peas, Missile, Stinger, Stick and Third Eye drops into magic petals with the max rarity being the orb's rarity.",None,None,"Is absorbed by the flower when the secondary reload has elapsed, increasing the flower's mana.
Allows the flower to find Magic petals. When equipped, some mob drops are replaced with Magic petals. Magic petals will be dropped at the orb's rarity or below.",Firefly (Shiny),,2.25,,0,0,1,
,Unusual,,,1,,0,75,2.5,1.5,0,,17,165,,,,,,,,,0,0,1,
,Rare,,,1,,0,225,2.5,1.5,0,,33,330,,,,,,,,,0,0,1,
,Epic,,,1,,0,675,2.5,1.5,0,,66,660,,,,,,,,,0,0,1,
,Legendary,,,1,,0,2025,2.5,1.5,0,,132,1320,,,,,,,,,0,0,1,
,Mythic,,,1,,0,6075,2.5,1.5,0,,264,2640,,,,,,,,,1,2.43,2.43,
,Ultra,,,1,,0,18225,2.5,1.5,0,,528,5280,,,,,,,,,1,7.29,7.29,
,Super,,,1,,0,54675,2.5,1.5,0,,1056,10560,,,,,,,,,1,21.87,21.87,
,Unique,,,1,,0,164025,2.5,1.5,0,,2112,21120,,,,,,,,,1,65.61,65.61,
Nazar Amulet,Common,,92,1,No,N/A,N/A,60,N/A,N/A,Charge:,3,Damage Reduction:,98%,None,None,"Reduces incoming damage instance by 98% and uses up 1 charge when doing so. Dies when all charges are used up

Only drops as a common, epic or ultra petal.",Beetle (Nazar),,2.25,,1,#VALUE!,#VALUE!,
,Unusual,,,1,,N/A,N/A,42,N/A,N/A,,3,,98%,,,,,,,,1,#VALUE!,#VALUE!,
,Rare,,,1,,N/A,N/A,29.4,N/A,N/A,,3,,98%,,,,,,,,1,#VALUE!,#VALUE!,
,Epic,,,1,,N/A,N/A,20.58,N/A,N/A,,3,,98%,,,,,,,,1,#VALUE!,#VALUE!,
,Legendary,,,1,,N/A,N/A,14.406,N/A,N/A,,3,,98%,,,,,,,,1,#VALUE!,#VALUE!,
,Mythic,,,1,,N/A,N/A,10.0842,N/A,N/A,,3,,98%,,,,,,,,1,#VALUE!,#VALUE!,
,Ultra,,,1,,N/A,N/A,7.05894,N/A,N/A,,3,,98%,,,,,,,,1,#VALUE!,#VALUE!,
,Super,,,1,,N/A,N/A,4.941258,N/A,N/A,,3,,98%,,,,,,,,1,#VALUE!,#VALUE!,
,Unique,,,1,,N/A,N/A,3.4588806,N/A,N/A,,3,,98%,,,,,,,,1,#VALUE!,#VALUE!,
Pearl,Common,,32,1,Yes,15,50,4,0.5,3.606,N/A,,,,"Shoots - Lays Down.
If already laid down, repelled by the player if nearby. Follows the player if far away.",None. Returns to the player if laid down.,"Upon attacking, goes outward for a short distance before stopping in place. The user can cause the petal to return to them by defending. The petal does not return if attacking, though it will start to follow the user if they get far enough. Getting too close while attacking pushes the petal away. If the petal is too far away (by getting caught behind a wall), it will go on respawn.
Cannot go through walls.",Shell,,,,0,0,1,
,Unusual,,,1,,45,150,4,0.5,21.635,,,,,,,,,,,,0,0,1,
,Rare,,,1,,135,450,4,0.5,162.26,,,,,,,,,,,,0,0,1,
,Epic,,,1,,405,1350,4,0.5,1362.981,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,1215,4050,4,0.5,8513.408,,,,,,,,,,,,1,1.62,1.62,
,Mythic,,,1,,3645,12150,4,0.5,49098.392,,,,,,,,,,,,1,4.86,4.86,
,Ultra,,,1,,10935,36450,4,0.5,212689.835,,,,,,,,,,,,1,14.58,14.58,
,Super,,,1,,32805,109350,4,0.5,748899.113,,,,,,,,,,,,1,43.74,43.74,
,Unique,,,1,,98415,328050,4,0.5,2384771.809,,,,,,,,,,,,1,131.22,131.22,
Peas,Common,,44,4,Yes,13,5,1.5,0.5,31.325,N/A,,,,Shoots,Shoots,"Upon attacking or defending, splits off in 4 (or 5 with duplicator) directions at 90 (72 with duplicator) degree angles, moving in a straight line away from their release point. The peas' orientation does not affect the direction it moves.
Projectile damage is divided by 5 if not shot.
Cannot go through walls.","With no Orb equipped:
Centipede (Green)
Mantis",,,,0,0,1,
,Unusual,,,4,,39,15,1.5,0.5,93.976,,,,,,,,,,,,0,0,1,
,Rare,,,4,,117,45,1.5,0.5,281.928,,,,,,,,,,,,0,0,1,
,Epic,,,4,,351,135.0,1.5,0.5,1691.566,,,,,,,,,,,,0,0,1,
,Legendary,,,4,,1053,405.0,1.5,0.5,12686.747,,,,,,,,,,,,0,0,1,
,Mythic,,,4,,3159,1215,1.5,0.5,98956.627,,,,,,,,,,,,0,0,1,
,Ultra,,,4,,9477,3645,1.5,0.5,443151.572,,,,,,,,,,,,1,1.458,1.458,
,Super,,,4,,28431,10935,1.5,0.5,2060941.233,,,,,,,,,,,,1,4.374,4.374,
,Unique,,,4,,85293,32805,1.5,0.5,7571470.342,,,,,,,,,,,,1,13.122,13.122,
Pincer,Common,,27,1,Yes,5,5,2.5,N/A,7.519,Poison; Poison DPS; Duration,15,19,0.8,Far,Close,"Inflicts poison damage and slows down enemies it hits.
See Statuses for info on poison.
Duration determines slowdown time. Slowdown is high and stacks with webs.",Scorpion,,,,0,0,1,
,Unusual,,,1,,15,15,2.5,N/A,22.556,,45,56,0.8,,,,,,,,0,0,1,
,Rare,,,1,,45,45,2.5,N/A,67.669,,135,169,0.8,,,,,,,,0,0,1,
,Epic,,,1,,135,135,2.5,N/A,253.759,,405,506,0.8,,,,,,,,0,0,1,
,Legendary,,,1,,405,405,2.5,N/A,1218.045,,1215,1519,0.8,,,,,,,,0,0,1,
,Mythic,,,1,,1215,1215,2.5,N/A,7308.271,,3645,4556,0.8,,,,,,,,0,0,1,
,Ultra,,,1,,3645,3645,2.5,N/A,36374.198,,10935,13669,0.8,,,,,,,,1,1.458,1.458,
,Super,,,1,,10935,10935,2.5,N/A,182327.34,,32805,41006,0.8,,,,,,,,1,4.374,4.374,
,Unique,,,1,,32805,32805,2.5,N/A,718893.967,,98415,123019,0.8,,,,,,,,1,13.122,13.122,
Plank,Common,,59,1,Yes,10,15,2.5,N/A,3.759,Damage Against Projectiles and petals:,200,N/A,,None,Close,"Large hitbox.
Damage against projectiles and petals are increased by 20x.",Worker Termite,,,,0,0,1,
,Unusual,,,1,,30,45,2.5,N/A,11.278,,600,,,,,,,,,,0,0,1,
,Rare,,,1,,90,135,2.5,N/A,67.669,,1800,,,,,,,,,,0,0,1,
,Epic,,,1,,270,405,2.5,N/A,507.519,,5400,,,,,,,,,,0,0,1,
,Legendary,,,1,,810,1215,2.5,N/A,3958.647,,16200,,,,,,,,,,0,0,1,
,Mythic,,,1,,2430,3645,2.5,N/A,21508.864,,48600,,,,,,,,,,1,1.458,1.458,
,Ultra,,,1,,7290,10935,2.5,N/A,113329.755,,145800,,,,,,,,,,1,4.374,4.374,
,Super,,,1,,21870,32805,2.5,N/A,454597.231,,437400,,,,,,,,,,1,13.122,13.122,
,Unique,,,1,,65610,98415,2.5,N/A,1536431.768,,1312200,,,,,,,,,,1,39.366,39.366,
Pollen,Common,,14,1,Yes,19,5,1,0.5,16.379,N/A,,,,Far - Lays Down,Close - Lays Down,"Upon attacking, petals move outward as normal but drop in place instead of continuing to rotate around the flower. The petals will also spread out a bit.
Upon defending, the same occurs but the petals move inward and get closer to each other.
Once laid down, the petals remain for a few seconds and damage mobs that move over them.","Bee
Bumble Bee",,,,0,0,1,
,Unusual,,,1,,57,15,1,0.5,49.138,,,,,,,,,,,,0,0,1,
,Rare,,,2,,171,45,1,0.5,294.828,,,,,,,,,,,,0,0,1,
,Epic,,,3,,513,135,1,0.5,2653.448,,,,,,,,,,,,0,0,1,
,Legendary,,,3,,1539,405,1,0.5,19900.862,,,,,,,,,,,,0,0,1,
,Mythic,,,3,,4617,1215,1,0.5,155226.724,,,,,,,,,,,,0,0,1,
,Ultra,,,3,,13851,3645,1,0.5,578535.848,,,,,,,,,,,,1,1.458,1.458,
,Super,,,3,,41553,10935,1,0.5,2463220.392,,,,,,,,,,,,1,4.374,4.374,
,Unique,,,3,,124659,32805,1,0.5,8590054.254,,,,,,,,,,,,1,13.122,13.122,
Poo,Common,,52,1,No,5,5,2.5,N/A,1.88,Mob Aggro Range,-20.0%,N/A,,None,Close,Decreases mob aggro range on you when equipped.,Fly,,,,0,0,1,
,Unusual,,,1,,15,15,2.5,N/A,5.639,,-36.0%,,,,,,,,,,0,0,1,
,Rare,,,1,,45,45,2.5,N/A,16.917,,-48.8%,,,,,,,,,,0,0,1,
,Epic,,,1,,135,135,2.5,N/A,101.504,,-59.0%,,,,,,,,,,0,0,1,
,Legendary,,,1,,405,405,2.5,N/A,761.278,,-67.2%,,,,,,,,,,0,0,1,
,Mythic,,,1,,1215,1215,2.5,N/A,5937.97,,-73.8%,,,,,,,,,,0,0,1,
,Ultra,,,1,,3645,3645,2.5,N/A,32263.295,,-79.0%,,,,,,,,,,1,1.458,1.458,
,Super,,,1,,10935,10935,2.5,N/A,169994.633,,-83.2%,,,,,,,,,,1,4.374,4.374,
,Unique,,,1,,32805,32805,2.5,N/A,681895.847,,-86.6%,,,,,,,,,,1,13.122,13.122,
Mysterious Powder,Common,,47,1,No,0,10,4,N/A,0,Movement Speed; Max Mob Rarity,25%,Common,N/A,None,Close,"Increases base movement speed. Effect disabled if the petal is on respawn. Goes on respawn if the flower takes damage, if a mob higher than the designated rarity is nearby, or if a player is nearby in PvP (roughly normal FoV range)",Centipede (Desert),,,,0,0,1,
,Unusual,,,1,,0,30,4,N/A,0,,50%,Common,,,,,,,,,0,0,1,
,Rare,,,1,,0,90,4,N/A,0,,75%,Common,,,,,,,,,0,0,1,
,Epic,,,1,,0,270,4,N/A,0,,100%,Unusual,,,,,,,,,0,0,1,
,Legendary,,,1,,0,810,4,N/A,0,,125%,Rare,,,,,,,,,0,0,1,
,Mythic,,,1,,0,2430,4,N/A,0,,150%,Epic,,,,,,,,,0,0,1,
,Ultra,,,1,,0,7290,4,N/A,0,,175%,Legendary,,,,,,,,,1,2.916,2.916,
,Super,,,1,,0,21870,4,N/A,0,,200%,Mythic,,,,,,,,,1,8.748,8.748,
,Unique,,,1,,0,65610,4,N/A,0,,225%,Mythic,,,,,,,,,1,26.244,26.244,
Privet Berry,Common,,78,1,Yes,N/A,N/A,4.0,N/A,N/A,Extra Poison (s),0.2,N/A,,None,Close,"Deals instantaneous extra poison damage based on the damage dealt in 0.2s by the poison DPS currentely on the entity. If no poison has been applied, deals 0 damage.",Termite Soldier,,,,1,#VALUE!,#VALUE!,
,Unusual,,,1,,N/A,N/A,2.8,N/A,N/A,,0.2,,,,,,,,,,1,#VALUE!,#VALUE!,
,Rare,,,1,,N/A,N/A,1.96,N/A,N/A,,0.2,,,,,,,,,,1,#VALUE!,#VALUE!,
,Epic,,,1,,N/A,N/A,1.37,N/A,N/A,,0.2,,,,,,,,,,1,#VALUE!,#VALUE!,
,Legendary,,,1,,N/A,N/A,0.96,N/A,N/A,,0.2,,,,,,,,,,1,#VALUE!,#VALUE!,
,Mythic,,,1,,N/A,N/A,0.67,N/A,N/A,,0.2,,,,,,,,,,1,#VALUE!,#VALUE!,
,Ultra,,,1,,N/A,N/A,0.47,N/A,N/A,,0.2,,,,,,,,,,1,#VALUE!,#VALUE!,
,Super,,,1,,N/A,N/A,0.33,N/A,N/A,,0.2,,,,,,,,,,1,#VALUE!,#VALUE!,
,Unique,,,1,,N/A,N/A,0.23,N/A,N/A,,0.2,,,,,,,,,,1,#VALUE!,#VALUE!,
